#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity
 1 1329.29   74.23  128.2  133.8  0.090   0.51 76.93 -5651.63 -1
 2 1350.52  218.95  439.7  428.1  0.030   0.57 81.48 -8799.00  6
 3 4904.71  189.40  283.1  266.1  0.050   0.55 79.64 -26647.94  7
 4 5394.42  204.45   20.9   40.9  0.157   0.53 67.29 -12684.57 -1
 5 4926.54  314.48   57.8   82.4  0.107   0.53 72.93 -15724.52 -1
 6 1381.16  404.04  537.4  486.7  0.029   0.64 80.60 -7939.76 11
 7 4934.58  365.03   68.5  105.1  0.078   0.56 78.43 -23737.45 17
 8 4950.41  475.74  324.3  303.9  0.044   0.62 79.64 -26613.35 17
 9 1401.96  542.85  100.0  125.5  0.080   0.53 77.50 -5782.54 -1
10 5457.86  614.94   89.5  113.5  0.087   0.52 76.95 -22929.90 -1
11 1426.35  679.74  179.5  224.6  0.045   0.58 81.06 -8386.64 16
12 4997.08  764.62   58.9   81.3  0.112   0.57 75.80 -18982.32 20
13 1440.76  783.32  127.4  115.6  0.120   0.50 78.80 -6493.34 16
14 5052.64  847.56   40.7   71.9  0.099   0.62 74.78 -17718.93 -1
15 5024.82  936.78   71.9   84.3  0.127   0.51 75.38 -18328.54 30
16 1493.69 1125.73 1422.3 1120.7  0.014   0.56 80.76 -8056.63 26
17 5031.70  996.11  170.3  135.2  0.117   0.55 78.55 -23848.80 25
18 5075.43 1011.86   27.4   52.0  0.127   0.51 69.13 -12301.64 -1
19 5036.98 1032.01   27.4   57.5  0.104   0.57 72.63 -15069.29 -1
20 5085.80 1073.16   44.0   67.9  0.120   0.58 75.70 -18880.31 -1
21 5045.48 1086.42   72.6   73.1  0.171   0.50 72.83 -15242.77 -1
22 5089.88 1097.15   56.9   72.5  0.136   0.62 71.98 -14549.69 -1
23 5060.55 1170.51   69.1   89.3  0.109   0.55 75.47 -18349.88 30
24 5122.89 1306.82   89.3  104.8  0.102   0.59 78.52 -23927.49 34
25 5087.57 1335.29   79.2   98.3  0.103   0.57 77.96 -22510.42 27
26 1535.73 1386.56  305.3  255.9  0.059   0.52 80.13 -7440.92 28
27 5108.76 1463.40  113.2  131.5  0.082   0.57 79.59 -26349.40 34
28 1558.37 1527.70  340.3  380.9  0.029   0.56 80.71 -7996.40 -1
29 5114.75 1504.01   55.1   68.1  0.149   0.53 75.78 -18679.00 -1
30 5162.84 1561.01   26.2   46.6  0.152   0.57 74.96 -17653.01 -1
31 5165.33 1577.45   23.1   39.0  0.191   0.64 65.67 -9847.05 -1
32 5200.45 1780.59   79.2   88.6  0.127   0.51 77.68 -22038.17 -1
33 5293.11 2372.55   20.3   38.6  0.171   0.52 63.64 -8309.40 -1
34 5306.96 2465.71   96.3  133.9  0.067   0.57 79.27 -25535.00 36
35   98.68 2747.57 1852.8 1094.3  0.019   0.57 80.54 2155.53 39
36 5332.49 2609.24   35.2   75.9  0.077   0.54 77.87 -22198.37 37
37 5372.93 2854.22  116.4  132.5  0.083   0.51 79.95 -27466.80 -1
38  140.53 2997.74   85.2  110.9  0.087   0.57 71.00 2590.65 -1
39  154.51 3093.21  652.3  419.2  0.047   0.61 81.06 2111.77 41
40 4182.11 3257.60  109.0  119.0  0.097   0.55 76.59 -14284.71 -1
41  210.34 3440.08 1486.1 1060.7  0.017   0.60 80.57 2175.14 -1
42 4469.56 3354.51  333.7  229.3  0.080   0.59 74.79 -13085.62 -1
43 4193.21 3321.48   49.6   72.0  0.120   0.58 75.40 -12775.97 -1
44 4203.39 3382.84   33.3   60.6  0.114   0.55 77.64 -15801.63 45
45 4231.74 3546.80   91.5  115.5  0.086   0.57 78.67 -17579.16 -1
46 4238.12 3587.69   51.8   78.6  0.105   0.54 72.89 -10177.27 -1
47 4247.58 3655.91   33.3   49.9  0.168   0.51 62.25 -4419.24 -1
