#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1 1643.84   88.98   44.1   64.0  0.135   0.56 72.84 -5234.54  2 1640.57 77.59 1647.36 99.56   23.0    2.7
 2 1649.80  140.47   13.8   31.6  0.174   0.52 67.30 -3802.73  3 1648.18 136.76 1652.01 145.92    9.9    1.5
 3 1661.01  276.60   22.8   42.9  0.156   0.52 59.13 -2502.31  4 1657.91 271.70 1663.67 281.33   11.2    4.0
 4 1665.87  341.26   13.4   38.5  0.114   0.60 67.20 -3622.86  5 1663.61 335.42 1668.21 346.38   11.9    2.0
 5 1789.35 1236.07   27.5   48.1  0.149   0.59 65.32 -2658.42  7 1786.57 1229.94 1792.63 1243.13   14.5    2.8
 6 1793.97 1284.25   12.8   28.5  0.198   0.52 53.69 -1156.65  9 1791.94 1281.55 1795.53 1286.43    6.1    2.6
 7 1805.58 1403.41  486.1  398.1  0.039   0.58 83.29 -13931.84  8 1796.62 1327.77 1815.53 1488.36  161.7    3.3
 8 1816.88 1500.00   24.4   44.3  0.157   0.60 66.50 -2678.68  9 1813.99 1493.60 1819.58 1506.46   14.0    2.7
 9 1852.54 1723.53   34.7   68.8  0.092   0.58 75.33 -5351.89 10 1849.46 1710.41 1855.54 1733.63   24.0    1.6
10 1855.07 1742.99   18.9   37.5  0.169   0.52 63.61 -1995.71 12 1852.67 1738.36 1857.61 1748.31   11.1    2.2
11 1858.91 1779.32   15.6   36.9  0.144   0.59 41.28  147.00 -1 1857.03 1777.49 1861.04 1781.01    5.3    4.2
12 1912.21 2233.11  281.1  267.3  0.049   0.57 79.79 -8383.98 13 1902.78 2181.76 1922.42 2290.78  110.8    2.6
13 1941.83 2468.05  459.8  408.7  0.035   0.55 84.63 -18202.03 14 1933.03 2373.55 1949.66 2550.46  177.7    2.6
14 1974.24 2732.58  257.3  243.4  0.055   0.55 81.27 -10120.25 15 1966.78 2683.52 1981.76 2781.00   98.6    2.7
15 2008.98 2998.72   14.1   33.8  0.155   0.53 55.16  111.94 16 2007.01 2995.46 2010.90 3001.06    6.8    2.2
16 2010.89 3014.43   14.1   41.5  0.103   0.52 71.77 -3091.27 17 2008.61 3007.68 2013.02 3021.08   14.1    1.8
17 2034.96 3207.77   10.3   26.9  0.178   0.54 65.24 -1204.09 18 2032.85 3203.19 2036.77 3211.68    9.3    1.2
18 2044.03 3267.95   35.5   54.7  0.149   0.54 67.20 -1595.24 19 2041.28 3261.25 2047.23 3275.41   15.4    2.6
19 2076.03 3520.43   65.2   89.9  0.101   0.62 78.39 -6583.41 20 2072.60 3503.47 2079.51 3537.09   34.3    2.0
20 2085.28 3608.73  257.0  283.3  0.040   0.57 83.19 -13863.06 -1 2078.69 3553.77 2091.38 3660.06  107.0    2.5
