#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity
 1    0.00    0.00    0.0    0.0  0.000   0.00  0.00    0.00 -1
 2 4893.03   49.22  253.4  207.6  0.074   0.54 79.75 -27018.41 -1
 4 1360.57  229.36  437.6  428.2  0.030   0.57 81.49 -8863.01 -1
 5    0.00    0.00    0.0    0.0  0.000   0.00  0.00    0.00 -1
 7 4936.54  324.48   57.8   82.4  0.107   0.53 73.10 -15924.90 -1
 8 1391.12  413.72  530.6  490.2  0.028   0.65 80.61 -7997.36 -1
 9 4944.59  375.06   68.6  105.2  0.078   0.56 78.46 -23846.67 -1
10 4960.34  485.34  321.6  302.1  0.044   0.63 79.67 -26730.22 -1
11 1411.94  552.78  101.6  125.6  0.081   0.51 77.59 -5865.84 -1
12 5467.86  624.92   90.1  113.6  0.088   0.52 77.02 -23099.35 -1
13 1436.33  689.60  179.3  224.8  0.045   0.57 81.06 -8439.68 -1
14 5007.08  774.62   57.4   81.2  0.109   0.57 76.01 -19316.40 -1
15 5062.64  857.59   39.9   72.0  0.097   0.62 74.88 -17874.38 -1
16 5034.82  946.77   71.6   84.2  0.127   0.51 75.64 -18726.58 -1
17 1503.69 1135.77 1424.5 1120.9  0.014   0.56 80.76 -8108.25 -1
18 5042.49 1011.51  200.9  192.3  0.068   0.58 80.08 -27823.55 -1
19 5085.43 1021.78   29.3   51.5  0.139   0.51 69.07 -12277.09 -1
20 5095.79 1083.10   45.3   68.2  0.122   0.57 75.58 -18728.70 -1
21 5055.69 1097.50   80.7   84.6  0.142   0.51 73.76 -16258.62 -1
22 5099.88 1107.19   58.2   72.4  0.140   0.60 72.15 -14724.13 -1
23 5070.55 1180.48   68.9   89.3  0.109   0.55 75.64 -18627.52 -1
24 5132.89 1316.84   89.9  104.8  0.103   0.59 78.58 -24084.91 -1
25 5097.57 1345.30   79.0   98.3  0.103   0.57 78.06 -22756.63 -1
26 1545.72 1396.50  303.3  255.4  0.058   0.53 80.15 -7503.91 -1
27 5118.76 1473.38  113.2  131.5  0.082   0.57 79.62 -26458.63 -1
28 1568.39 1537.82  340.9  376.7  0.030   0.56 80.76 -8106.50 -1
29 5124.75 1514.01   55.0   68.1  0.149   0.53 75.97 -18989.05 -1
30 5172.84 1571.03   27.3   46.6  0.158   0.57 74.88 -17570.47 -1
31 5175.33 1587.47   24.2   39.2  0.197   0.65 65.73 -9891.73 -1
32 5210.45 1790.59   79.2   88.6  0.127   0.51 77.78 -22268.24 -1
33 5303.11 2382.54   20.3   38.7  0.171   0.52 63.10 -8070.20 -1
34 5316.96 2475.74   96.3  133.8  0.068   0.57 79.28 -25597.49 -1
35  108.71 2757.71 1849.8 1093.8  0.019   0.57 80.54 2105.47 -1
36 5342.49 2619.25   35.2   75.9  0.077   0.54 77.94 -22377.41 -1
37 5382.93 2864.20  116.3  132.5  0.083   0.51 79.98 -27616.72 -1
38  150.53 3007.76   85.3  110.9  0.087   0.57 71.24 2565.61 -1
39  164.51 3103.22  653.2  419.3  0.047   0.61 81.05 2058.98 -1
40 4192.13 3267.66  106.4  119.0  0.094   0.54 76.84 -14661.57 -1
41  220.28 3449.77 1487.8 1064.0  0.017   0.60 80.56 2126.19 -1
42 4479.60 3364.66  331.8  229.2  0.079   0.59 74.85 -13179.02 -1
43 4203.21 3331.47   48.9   72.0  0.118   0.58 75.66 -13104.64 -1
44 4213.39 3392.84   33.3   60.6  0.114   0.55 77.82 -16123.58 -1
45 4524.20 3544.38 1086.5  725.9  0.026   0.57 76.17 -14837.08 -1
46 4241.75 3556.82   89.3  115.4  0.084   0.55 78.88 -18032.87 -1
